"DateTime";"Laveste";"Højeste";"Middel"
"2019-03-01 00:00:00";-3;8;2,1
"2019-03-02 00:00:00";-1,1;5;2,3
"2019-03-03 00:00:00";4;10,8;7
"2019-03-04 00:00:00";4,6;9,5;6,8
"2019-03-05 00:00:00";2,6;6,3;4,1
"2019-03-06 00:00:00";1,2;7;4,9
"2019-03-07 00:00:00";5,3;9,5;7
"2019-03-08 00:00:00";3,4;8,2;5,8
"2019-03-09 00:00:00";2,9;9,3;5,3
"2019-03-10 00:00:00";-1,2;8,5;3,9
"2019-03-11 00:00:00";-3,7;7,5;1,9
"2019-03-12 00:00:00";-3,5;6,7;3,2
"2019-03-13 00:00:00";2,2;6,9;4,9
"2019-03-14 00:00:00";3,7;8,6;5,2
"2019-03-15 00:00:00";2,6;7,3;5,1
"2019-03-16 00:00:00";1,3;8,7;5,4
"2019-03-17 00:00:00";4,5;9,6;7,2
"2019-03-18 00:00:00";1,2;8,1;5,1
"2019-03-19 00:00:00";-1;8,5;3,7
"2019-03-20 00:00:00";0,5;9,5;6,1
"2019-03-21 00:00:00";5,8;12,1;8,9
"2019-03-22 00:00:00";4,2;9,3;7,2
"2019-03-23 00:00:00";4,4;12,3;8,1
"2019-03-24 00:00:00";2,9;10,6;6
"2019-03-25 00:00:00";1,1;9,6;5
"2019-03-26 00:00:00";0,7;9,5;5,2
"2019-03-27 00:00:00";2,1;11,8;7,8
"2019-03-28 00:00:00";6,1;14,3;9,4
"2019-03-29 00:00:00";4,2;15,3;9,9
"2019-03-30 00:00:00";2,6;16,7;9,6
"2019-03-31 00:00:00";-0,7;9,5;5,7
