"DateTime";"Laveste";"Højeste";"Middel"
"2021-03-01 00:00:00";-1,9;9,9;3,6
"2021-03-02 00:00:00";0,2;3,8;2,2
"2021-03-03 00:00:00";-1;6,6;1
"2021-03-04 00:00:00";-1,2;5,9;2,6
"2021-03-05 00:00:00";-4,2;7,3;1
"2021-03-06 00:00:00";-4,7;7,1;2,3
"2021-03-07 00:00:00";-1,7;7,2;3,4
"2021-03-08 00:00:00";-5,2;5,8;0,2
"2021-03-09 00:00:00";-5;6;0,6
"2021-03-10 00:00:00";-5,5;4,7;0,8
"2021-03-11 00:00:00";0,7;6,7;3,9
"2021-03-12 00:00:00";2,3;8,5;5,4
"2021-03-13 00:00:00";0,7;5,8;3,4
"2021-03-14 00:00:00";1,5;9,4;4,5
"2021-03-15 00:00:00";2,1;7;4,5
"2021-03-16 00:00:00";-0,8;7,7;3,2
"2021-03-17 00:00:00";-1;9,9;3,8
"2021-03-18 00:00:00";-3,4;7,6;2,6
"2021-03-19 00:00:00";-1,5;4,7;1,4
"2021-03-20 00:00:00";-2,2;6,2;2,7
"2021-03-21 00:00:00";0,9;9,6;5,7
"2021-03-22 00:00:00";-0,5;10,4;5,2
"2021-03-23 00:00:00";4,7;8;6,2
"2021-03-24 00:00:00";4,8;12;8,2
"2021-03-25 00:00:00";3,8;13,5;8,5
"2021-03-26 00:00:00";4,4;13,7;8,8
"2021-03-27 00:00:00";2,7;9,4;6,4
"2021-03-28 00:00:00";2,7;9,8;6
"2021-03-29 00:00:00";7,3;11,4;9,2
"2021-03-30 00:00:00";6,3;18,7;12,4
"2021-03-31 00:00:00";1,8;18,8;10,8
