"DateTime";"Laveste";"Højeste";"Middel"
"2021-12-01 00:00:00";-3,3;7,9;2,8
"2021-12-02 00:00:00";-3,5;3,1;0,1
"2021-12-03 00:00:00";-1,3;5,2;1,6
"2021-12-04 00:00:00";2,3;5,6;4
"2021-12-05 00:00:00";-1,7;3,3;0,8
"2021-12-06 00:00:00";-2,1;1,2;-0,6
"2021-12-07 00:00:00";-0,1;2,4;1,4
"2021-12-08 00:00:00";0,7;2,5;1,6
"2021-12-09 00:00:00";0,1;2,6;1,4
"2021-12-10 00:00:00";-0,3;2,1;1,1
"2021-12-11 00:00:00";-0,9;1,4;0,4
"2021-12-12 00:00:00";-1,6;5,5;2,9
"2021-12-13 00:00:00";4,3;8,3;6,3
"2021-12-14 00:00:00";2,5;8,2;6
"2021-12-15 00:00:00";5,1;10,1;8,1
"2021-12-16 00:00:00";3,8;8,9;6,7
"2021-12-17 00:00:00";2,9;6,1;4,6
"2021-12-18 00:00:00";4,2;7;5,4
"2021-12-19 00:00:00";3;7,7;5,2
"2021-12-20 00:00:00";-0,9;4,7;2
"2021-12-21 00:00:00";-3;2,1;-0,1
"2021-12-22 00:00:00";0,2;3,6;2,2
"2021-12-23 00:00:00";-0,7;2,1;0,6
"2021-12-24 00:00:00";-8,1;1;-2,6
"2021-12-25 00:00:00";-9,6;-0,3;-3,8
"2021-12-26 00:00:00";-7,8;-0,3;-3,1
"2021-12-27 00:00:00";-3;2;-0,2
"2021-12-28 00:00:00";-0,2;2,5;0,8
"2021-12-29 00:00:00";1,4;3,6;2,4
"2021-12-30 00:00:00";2,8;8,6;5,7
"2021-12-31 00:00:00";6,5;10,1;8,5
