"DateTime";"Laveste";"Højeste";"Middel"
"2015-10-01 00:00:00";6,8;14,4;12,1
"2015-10-02 00:00:00";10,3;18,4;13,5
"2015-10-03 00:00:00";7,6;16,2;11,8
"2015-10-04 00:00:00";8;15,8;11,4
"2015-10-05 00:00:00";5,7;15,5;11,1
"2015-10-06 00:00:00";11,4;15,1;13,1
"2015-10-07 00:00:00";10,5;13,2;11,6
"2015-10-08 00:00:00";9,2;11,7;10,3
"2015-10-09 00:00:00";8,5;12,7;10,3
"2015-10-10 00:00:00";6,6;11,7;9
"2015-10-11 00:00:00";6,2;13,1;9,1
"2015-10-12 00:00:00";7,1;10,4;8,5
"2015-10-13 00:00:00";6,6;8,6;7,7
"2015-10-14 00:00:00";7,1;10,2;8,9
"2015-10-15 00:00:00";8,1;12,5;10,3
"2015-10-16 00:00:00";8,7;10,9;9,6
"2015-10-17 00:00:00";8,9;10,8;9,9
"2015-10-18 00:00:00";5;11,1;9,4
"2015-10-19 00:00:00";3,1;11,3;8,2
"2015-10-20 00:00:00";8,2;11,7;9,7
"2015-10-21 00:00:00";7,7;13;10,1
"2015-10-22 00:00:00";9,8;13;11,1
"2015-10-23 00:00:00";5,7;14,5;11,4
"2015-10-24 00:00:00";5,3;12,6;10,5
"2015-10-25 00:00:00";4,2;13,6;10,1
"2015-10-26 00:00:00";2,1;12,8;7,4
"2015-10-27 00:00:00";1,5;12,5;7,9
"2015-10-28 00:00:00";7,8;13,9;10
"2015-10-29 00:00:00";7,5;10,4;9
"2015-10-30 00:00:00";8,6;12,1;10
"2015-10-31 00:00:00";9,2;13,8;11
