"DateTime";"Laveste";"Højeste";"Middel"
"2019-04-01 00:00:00";-3,4;9,3;3,7
"2019-04-02 00:00:00";3,2;10,8;6,8
"2019-04-03 00:00:00";6,4;14,1;9,3
"2019-04-04 00:00:00";6,1;15,9;10
"2019-04-05 00:00:00";6,2;16,4;10,1
"2019-04-06 00:00:00";5,2;17,9;10,8
"2019-04-07 00:00:00";3,9;18,1;10,1
"2019-04-08 00:00:00";2,9;12,2;7,5
"2019-04-09 00:00:00";0,1;8,2;4,3
"2019-04-10 00:00:00";-0,7;8,2;3,5
"2019-04-11 00:00:00";0,9;7,1;3,5
"2019-04-12 00:00:00";-0,5;6,6;3,2
"2019-04-13 00:00:00";-0,7;7,1;3,4
"2019-04-14 00:00:00";0,4;10,7;5,1
"2019-04-15 00:00:00";0,5;11,2;5,4
"2019-04-16 00:00:00";1;11,6;6,1
"2019-04-17 00:00:00";1,8;16,6;8,9
"2019-04-18 00:00:00";3,7;18,3;10,6
"2019-04-19 00:00:00";3,3;17,5;9,6
"2019-04-20 00:00:00";1,1;18,9;10,7
"2019-04-21 00:00:00";2,6;20,4;11,8
"2019-04-22 00:00:00";4,5;17,7;11
"2019-04-23 00:00:00";7,7;18,2;13,1
"2019-04-24 00:00:00";9,6;17,5;13,6
"2019-04-25 00:00:00";8,9;20,5;14
"2019-04-26 00:00:00";7,6;24,4;15,1
"2019-04-27 00:00:00";7,4;14,1;10,8
"2019-04-28 00:00:00";7,4;14,8;11,3
"2019-04-29 00:00:00";6,3;18,8;12,2
"2019-04-30 00:00:00";4,7;19,1;12,5
