"DateTime";"Laveste";"Højeste";"Middel"
"2014-04-01 00:00:00";2,7;9;5,2
"2014-04-02 00:00:00";2,9;9,8;5,4
"2014-04-03 00:00:00";2,9;12,1;6
"2014-04-04 00:00:00";2,1;8,2;4,7
"2014-04-05 00:00:00";2,6;7,6;5,1
"2014-04-06 00:00:00";5,9;12,6;9
"2014-04-07 00:00:00";9,2;16,6;12,8
"2014-04-08 00:00:00";7,4;15,9;10,8
"2014-04-09 00:00:00";5,1;10,3;7,7
"2014-04-10 00:00:00";4,9;10,8;6,8
"2014-04-11 00:00:00";2,9;12;7,7
"2014-04-12 00:00:00";0,2;13,1;8
"2014-04-13 00:00:00";6,6;13;9,1
"2014-04-14 00:00:00";5,6;9,9;7,4
"2014-04-15 00:00:00";4,9;12,6;8
"2014-04-16 00:00:00";0,6;14,5;8,1
"2014-04-17 00:00:00";2,9;13,8;9,1
"2014-04-18 00:00:00";1,9;13,4;7,9
"2014-04-19 00:00:00";3,3;18,5;10,7
"2014-04-20 00:00:00";7,8;20,2;13,3
"2014-04-21 00:00:00";9,8;17,9;12,6
"2014-04-22 00:00:00";9,4;19,6;13,5
"2014-04-23 00:00:00";7,9;14,8;11,1
"2014-04-24 00:00:00";5;10,6;8,3
"2014-04-25 00:00:00";6,8;18,3;11,4
"2014-04-26 00:00:00";5,3;20,5;12,4
"2014-04-27 00:00:00";6,4;20,5;13,3
"2014-04-28 00:00:00";5,2;19,8;12,4
"2014-04-29 00:00:00";4,6;21,2;13,9
"2014-04-30 00:00:00";6,7;18,6;13,2
