"DateTime";"Laveste";"Højeste";"Middel"
"2018-11-01 00:00:00";6,6;12,5;9,4
"2018-11-02 00:00:00";6,4;12,6;9,3
"2018-11-03 00:00:00";2,8;11,8;7,1
"2018-11-04 00:00:00";2,6;10,5;7,7
"2018-11-05 00:00:00";8,4;10,4;9,6
"2018-11-06 00:00:00";5,8;12,5;9,5
"2018-11-07 00:00:00";5,5;13;9,1
"2018-11-08 00:00:00";5,6;10;7,8
"2018-11-09 00:00:00";3,9;10,1;8,4
"2018-11-10 00:00:00";7,8;10,2;9
"2018-11-11 00:00:00";8,9;11;10
"2018-11-12 00:00:00";8,1;11,6;10,3
"2018-11-13 00:00:00";7,1;11,4;9,6
"2018-11-14 00:00:00";8,4;11,5;9,8
"2018-11-15 00:00:00";7,5;12,2;9,5
"2018-11-16 00:00:00";6,3;10,2;8,4
"2018-11-17 00:00:00";2,8;7,9;6
"2018-11-18 00:00:00";2,6;8,1;5,7
"2018-11-19 00:00:00";3;6,3;4,9
"2018-11-20 00:00:00";2,9;6,8;4,8
"2018-11-21 00:00:00";3,4;6,8;5,1
"2018-11-22 00:00:00";2,6;5,7;4,6
"2018-11-23 00:00:00";1,8;3,7;3
"2018-11-24 00:00:00";1,7;4,2;3,2
"2018-11-25 00:00:00";-0,7;4,2;2,7
"2018-11-26 00:00:00";-3,9;2,7;0
"2018-11-27 00:00:00";-3,5;1,1;-0,6
"2018-11-28 00:00:00";-2,4;5,3;2,4
"2018-11-29 00:00:00";1,4;4,7;3
"2018-11-30 00:00:00";2,9;5,5;4,5
