"DateTime";"Laveste";"Højeste";"Middel"
"2012-12-01 00:00:00";-0,5;3,2;0,8
"2012-12-02 00:00:00";-7;0,5;-2,2
"2012-12-03 00:00:00";-8,7;2,9;-1,5
"2012-12-04 00:00:00";-1,9;2,7;0,4
"2012-12-05 00:00:00";-6;-1,1;-2,4
"2012-12-06 00:00:00";-7,4;-0,5;-3,1
"2012-12-07 00:00:00";-3,2;1,3;-0,8
"2012-12-08 00:00:00";-7,7;-0,1;-2,8
"2012-12-09 00:00:00";-7,4;1;-0,9
"2012-12-10 00:00:00";-3,1;0,2;-0,9
"2012-12-11 00:00:00";-3,8;-1;-2,5
"2012-12-12 00:00:00";-4,1;-0,9;-2,1
"2012-12-13 00:00:00";-5,9;-1,1;-3,1
"2012-12-14 00:00:00";-2,9;1,2;-0,7
"2012-12-15 00:00:00";0,1;5,1;2,6
"2012-12-16 00:00:00";3,1;5,1;4,1
"2012-12-17 00:00:00";3,1;4,4;3,8
"2012-12-18 00:00:00";0,9;3,8;2,3
"2012-12-19 00:00:00";0;1,7;0,9
"2012-12-20 00:00:00";-0,2;1,9;1
"2012-12-21 00:00:00";-0,2;2,1;0,6
"2012-12-22 00:00:00";-1,2;1,6;0
"2012-12-23 00:00:00";-1,9;2,4;-0,5
"2012-12-24 00:00:00";1,1;5,8;4,1
"2012-12-25 00:00:00";2,6;8,2;5
"2012-12-26 00:00:00";4,4;7;5,8
"2012-12-27 00:00:00";-1,6;5,6;3,2
"2012-12-28 00:00:00";-3,7;1,8;-0,1
"2012-12-29 00:00:00";1,3;7,1;4,8
"2012-12-30 00:00:00";2,6;7,8;5,3
"2012-12-31 00:00:00";3,4;8,6;6,8
