"DateTime";"Laveste";"Højeste";"Middel"
"2017-11-01 00:00:00";8,9;13,3;11,6
"2017-11-02 00:00:00";4,8;11,8;10,1
"2017-11-03 00:00:00";1,7;11,5;8,2
"2017-11-04 00:00:00";8,6;11,9;9,9
"2017-11-05 00:00:00";6;11,8;10,2
"2017-11-06 00:00:00";1,4;10,3;6,1
"2017-11-07 00:00:00";-0,5;10,7;5,1
"2017-11-08 00:00:00";4,5;9,5;7,9
"2017-11-09 00:00:00";6,4;9,3;8,1
"2017-11-10 00:00:00";4,8;9,5;7
"2017-11-11 00:00:00";4;8;6,1
"2017-11-12 00:00:00";1,8;8,1;5,6
"2017-11-13 00:00:00";-1,6;6;2,9
"2017-11-14 00:00:00";-0,9;9,1;5,3
"2017-11-15 00:00:00";1,9;10,2;6,5
"2017-11-16 00:00:00";1,6;9,1;6,6
"2017-11-17 00:00:00";3,5;8,9;6,1
"2017-11-18 00:00:00";3,4;7,2;5,6
"2017-11-19 00:00:00";0,2;6,3;4,1
"2017-11-20 00:00:00";-2,6;5,9;1,9
"2017-11-21 00:00:00";-0,9;4,6;2,6
"2017-11-22 00:00:00";3,2;10,5;7,7
"2017-11-23 00:00:00";7;11,8;9,2
"2017-11-24 00:00:00";2,8;8,2;6,6
"2017-11-25 00:00:00";0,5;4,5;2,9
"2017-11-26 00:00:00";1,3;6,5;4,5
"2017-11-27 00:00:00";3,6;6,4;5,1
"2017-11-28 00:00:00";3,3;6,7;5,1
"2017-11-29 00:00:00";-1,2;5,2;2,9
"2017-11-30 00:00:00";-1,5;4,4;1,9
