"DateTime";"Laveste";"Højeste";"Middel"
"2013-01-01 00:00:00";2;8,2;6,2
"2013-01-02 00:00:00";1,9;5,9;4,6
"2013-01-03 00:00:00";4,8;9,9;7,2
"2013-01-04 00:00:00";5,5;9;7
"2013-01-05 00:00:00";2,7;7,1;4,9
"2013-01-06 00:00:00";3,3;6,9;5,2
"2013-01-07 00:00:00";2,9;4,5;3,6
"2013-01-08 00:00:00";4,1;7;5,6
"2013-01-09 00:00:00";3,8;6,6;5,4
"2013-01-10 00:00:00";-1,2;4,2;0,8
"2013-01-11 00:00:00";-2,7;0,2;-0,8
"2013-01-12 00:00:00";-2,8;-0,7;-1,4
"2013-01-13 00:00:00";-3,1;0,4;-1,2
"2013-01-14 00:00:00";-3,5;-0,1;-1,8
"2013-01-15 00:00:00";-9,2;-1,7;-4
"2013-01-16 00:00:00";-10,5;-1,9;-5
"2013-01-17 00:00:00";-6,7;-1,3;-3,1
"2013-01-18 00:00:00";-5,6;-1,8;-3,2
"2013-01-19 00:00:00";-5,9;-2,4;-4
"2013-01-20 00:00:00";-8,7;-2,5;-4,6
"2013-01-21 00:00:00";-5,2;-1,3;-3
"2013-01-22 00:00:00";-3,4;-0,6;-2,2
"2013-01-23 00:00:00";-4,8;-0,9;-3
"2013-01-24 00:00:00";-7,9;-0,4;-3,5
"2013-01-25 00:00:00";-11,5;-0,7;-4,3
"2013-01-26 00:00:00";-4,3;-1,1;-3
"2013-01-27 00:00:00";-3;2,7;0,2
"2013-01-28 00:00:00";1,1;3,5;2,3
"2013-01-29 00:00:00";0,5;6,4;3,6
"2013-01-30 00:00:00";2,4;7,7;5,7
"2013-01-31 00:00:00";2,7;7,2;5,1
