"DateTime";"Laveste";"Højeste";"Middel"
"2011-01-01 00:00:00";-2,1;4,2;2,1
"2011-01-02 00:00:00";-4,8;1,3;-1,8
"2011-01-03 00:00:00";-6,8;-1,1;-3,9
"2011-01-04 00:00:00";-2,5;0,9;-0,3
"2011-01-05 00:00:00";-3,5;0,2;-1,1
"2011-01-06 00:00:00";-3,6;1,9;-0,7
"2011-01-07 00:00:00";-2,2;1,9;0,5
"2011-01-08 00:00:00";-0,5;6;2,5
"2011-01-09 00:00:00";1,1;4,9;2,5
"2011-01-10 00:00:00";0,4;2,1;1,2
"2011-01-11 00:00:00";-0,3;1,6;0,7
"2011-01-12 00:00:00";-0,2;2,7;1,4
"2011-01-13 00:00:00";-0,2;2,1;0,5
"2011-01-14 00:00:00";0,1;1,8;1,1
"2011-01-15 00:00:00";1,1;5,1;2,6
"2011-01-16 00:00:00";4;8,1;6,3
"2011-01-17 00:00:00";2,5;7,4;5,3
"2011-01-18 00:00:00";1,8;5,2;3,4
"2011-01-19 00:00:00";-1,4;3,7;2
"2011-01-20 00:00:00";-3;2,3;-0,5
"2011-01-21 00:00:00";-4;0,8;-1,3
"2011-01-22 00:00:00";-2,1;2,2;-0,1
"2011-01-23 00:00:00";-1,7;2,8;0,5
"2011-01-24 00:00:00";-1,7;3,9;1
"2011-01-25 00:00:00";0;4,2;2,6
"2011-01-26 00:00:00";-6,1;0,7;-2,4
"2011-01-27 00:00:00";-9,2;-1,7;-4,8
"2011-01-28 00:00:00";-7,8;0,3;-3,3
"2011-01-29 00:00:00";-4,4;1,8;-1,1
"2011-01-30 00:00:00";-6,7;4,6;-1,1
"2011-01-31 00:00:00";-5,9;0,5;-2,5
