"DateTime";"Laveste";"Højeste";"Middel"
"2012-04-01 00:00:00";-3;8,2;4,1
"2012-04-02 00:00:00";-0,1;6,5;3,7
"2012-04-03 00:00:00";-3;6,7;2,8
"2012-04-04 00:00:00";-1,2;8,4;3,9
"2012-04-05 00:00:00";-4,2;10,8;4,4
"2012-04-06 00:00:00";0,4;6,5;3,8
"2012-04-07 00:00:00";-0,8;6;2,5
"2012-04-08 00:00:00";-3,3;9,1;3,4
"2012-04-09 00:00:00";2,7;6,1;4,8
"2012-04-10 00:00:00";5,3;9,3;7,1
"2012-04-11 00:00:00";3,7;10,3;7,9
"2012-04-12 00:00:00";1,4;12,8;7,5
"2012-04-13 00:00:00";2,8;12,8;7
"2012-04-14 00:00:00";0,1;12,3;6,5
"2012-04-15 00:00:00";2,8;11,6;7,1
"2012-04-16 00:00:00";0,3;11,1;5,7
"2012-04-17 00:00:00";1,7;9,2;5,2
"2012-04-18 00:00:00";4,6;9,3;7,2
"2012-04-19 00:00:00";5,7;14,9;9,2
"2012-04-20 00:00:00";4,3;10,9;7,2
"2012-04-21 00:00:00";4,5;14,2;7,9
"2012-04-22 00:00:00";4,5;10,2;7,3
"2012-04-23 00:00:00";4,3;12,8;8,4
"2012-04-24 00:00:00";4,9;15,8;10,1
"2012-04-25 00:00:00";7,1;14,1;9,1
"2012-04-26 00:00:00";6,6;14,2;10,1
"2012-04-27 00:00:00";7,2;16,7;12,1
"2012-04-28 00:00:00";7;12,7;9,7
"2012-04-29 00:00:00";8,2;16,2;11,8
"2012-04-30 00:00:00";7,7;19,5;12,4
