"DateTime";"Laveste";"Højeste";"Middel"
"2017-04-01 00:00:00";5,5;17,8;12,1
"2017-04-02 00:00:00";6,4;16,6;11,3
"2017-04-03 00:00:00";4,3;13;8,7
"2017-04-04 00:00:00";1,9;13,8;7,7
"2017-04-05 00:00:00";4,1;12,1;8
"2017-04-06 00:00:00";4,4;12,6;8,3
"2017-04-07 00:00:00";7,6;15,5;10,3
"2017-04-08 00:00:00";7,3;10,9;9,2
"2017-04-09 00:00:00";2,8;17,7;9,9
"2017-04-10 00:00:00";6,1;12,8;9,9
"2017-04-11 00:00:00";4,5;11,9;7,2
"2017-04-12 00:00:00";5,3;12;8,2
"2017-04-13 00:00:00";5,2;10,9;7,8
"2017-04-14 00:00:00";5,3;12,7;7,7
"2017-04-15 00:00:00";1,4;8,4;4,6
"2017-04-16 00:00:00";0,1;6,9;3,2
"2017-04-17 00:00:00";1,4;8,5;4,3
"2017-04-18 00:00:00";-0,6;7,4;3
"2017-04-19 00:00:00";-2,4;8,7;3,6
"2017-04-20 00:00:00";1,1;10,1;6,3
"2017-04-21 00:00:00";4,9;12,5;9,1
"2017-04-22 00:00:00";3,7;12,1;7,1
"2017-04-23 00:00:00";3,6;10,8;6,5
"2017-04-24 00:00:00";2,2;10,3;5,9
"2017-04-25 00:00:00";-0,1;9;4,4
"2017-04-26 00:00:00";0,4;9;4,4
"2017-04-27 00:00:00";-0,7;10,5;5,8
"2017-04-28 00:00:00";5,6;11,1;7,5
"2017-04-29 00:00:00";2,8;10;5,8
"2017-04-30 00:00:00";-0,5;11,3;6,7
