"DateTime";"Laveste";"Højeste";"Middel"
"2013-02-01 00:00:00";0,1;4,1;2,2
"2013-02-02 00:00:00";-4,6;3,3;-0,6
"2013-02-03 00:00:00";-4,9;2,4;-0,1
"2013-02-04 00:00:00";0,4;6;2,6
"2013-02-05 00:00:00";-0,2;3,8;1,8
"2013-02-06 00:00:00";0;2,7;0,9
"2013-02-07 00:00:00";-1;1;0,1
"2013-02-08 00:00:00";-1;2,2;0,3
"2013-02-09 00:00:00";-4,3;-0,4;-2,5
"2013-02-10 00:00:00";-7,9;-0,1;-2,5
"2013-02-11 00:00:00";-2,6;2;-1
"2013-02-12 00:00:00";-3,7;-1,4;-2,4
"2013-02-13 00:00:00";-5,3;1;-2,2
"2013-02-14 00:00:00";-3,7;1,3;-0,9
"2013-02-15 00:00:00";0;2,2;1
"2013-02-16 00:00:00";0,7;2,4;1,5
"2013-02-17 00:00:00";-0,2;1,5;0,7
"2013-02-18 00:00:00";-0,4;2,8;1,2
"2013-02-19 00:00:00";-1,4;2,4;0,5
"2013-02-20 00:00:00";-1,6;0,7;-0,5
"2013-02-21 00:00:00";-3,9;1,9;-1,4
"2013-02-22 00:00:00";-5,5;-0,7;-2,2
"2013-02-23 00:00:00";-2,2;-0,4;-1,2
"2013-02-24 00:00:00";-1,6;1,9;0,3
"2013-02-25 00:00:00";0,7;3,7;1,7
"2013-02-26 00:00:00";-3,5;3;0,9
"2013-02-27 00:00:00";-4,5;7,7;0,3
"2013-02-28 00:00:00";-1,8;8,3;1,9
