"DateTime";"Laveste";"Højeste";"Middel"
"2015-11-01 00:00:00";6,5;11,9;10,2
"2015-11-02 00:00:00";8,4;11,6;10,2
"2015-11-03 00:00:00";5,2;9;7,7
"2015-11-04 00:00:00";4,7;8,9;6,6
"2015-11-05 00:00:00";7,4;11,3;9,8
"2015-11-06 00:00:00";10,4;12,4;11,1
"2015-11-07 00:00:00";11,7;15,4;13,1
"2015-11-08 00:00:00";7,1;14,8;11,4
"2015-11-09 00:00:00";10,3;13,4;11,6
"2015-11-10 00:00:00";10,8;15,7;13,7
"2015-11-11 00:00:00";11;14,9;13,4
"2015-11-12 00:00:00";7,9;13,4;11,6
"2015-11-13 00:00:00";6;12,7;10,1
"2015-11-14 00:00:00";4,9;9,8;6,9
"2015-11-15 00:00:00";0,2;8,9;5,9
"2015-11-16 00:00:00";0;11,8;8,3
"2015-11-17 00:00:00";6;10,3;8,7
"2015-11-18 00:00:00";8,2;12,4;10,1
"2015-11-19 00:00:00";6,3;10,6;8,6
"2015-11-20 00:00:00";1,3;6,8;4,8
"2015-11-21 00:00:00";-0,2;3,5;1,5
"2015-11-22 00:00:00";-0,7;3,2;1,8
"2015-11-23 00:00:00";-4,7;4,7;0,8
"2015-11-24 00:00:00";2,6;5,7;4,4
"2015-11-25 00:00:00";2,3;5,9;4,2
"2015-11-26 00:00:00";0,9;7,4;4,4
"2015-11-27 00:00:00";1,5;7,4;5,8
"2015-11-28 00:00:00";3,2;6;4,8
"2015-11-29 00:00:00";4;9,7;6,5
"2015-11-30 00:00:00";3,2;7,2;5,5
