"DateTime";"Laveste";"Højeste";"Middel"
"2014-03-01 00:00:00";1,3;6,3;3,8
"2014-03-02 00:00:00";1,5;4,9;3,3
"2014-03-03 00:00:00";0,9;5,1;3,4
"2014-03-04 00:00:00";2,4;7,4;4,6
"2014-03-05 00:00:00";1,9;6,2;4,2
"2014-03-06 00:00:00";-0,3;8,4;4,4
"2014-03-07 00:00:00";3,1;9;6
"2014-03-08 00:00:00";2;10,9;6,3
"2014-03-09 00:00:00";3,5;13,2;7,5
"2014-03-10 00:00:00";2,5;18,7;9,3
"2014-03-11 00:00:00";-0,5;13;5,8
"2014-03-12 00:00:00";-1,6;13,9;6,4
"2014-03-13 00:00:00";-1,5;14,9;7,6
"2014-03-14 00:00:00";3;11;6,9
"2014-03-15 00:00:00";5,8;10,6;7,4
"2014-03-16 00:00:00";5,8;9,6;7,5
"2014-03-17 00:00:00";7;10,6;8,7
"2014-03-18 00:00:00";6,6;11,2;8,2
"2014-03-19 00:00:00";4,9;10,1;8
"2014-03-20 00:00:00";6,9;15,9;10,9
"2014-03-21 00:00:00";3,6;14,5;8,6
"2014-03-22 00:00:00";2,4;8,3;5,7
"2014-03-23 00:00:00";1,8;10,2;6,5
"2014-03-24 00:00:00";-0,8;10,4;5
"2014-03-25 00:00:00";0;9,2;4,2
"2014-03-26 00:00:00";1,2;7,4;4,3
"2014-03-27 00:00:00";-1,5;6;3,8
"2014-03-28 00:00:00";4,2;14,1;7,9
"2014-03-29 00:00:00";2,6;14,2;7,6
"2014-03-30 00:00:00";0,7;14,3;7,2
"2014-03-31 00:00:00";0,5;16;7,4
