"DateTime";"Laveste";"Højeste";"Middel"
"2014-02-01 00:00:00";-1,2;3;1,3
"2014-02-02 00:00:00";-1,4;4,9;2,6
"2014-02-03 00:00:00";-2,2;2,3;0,3
"2014-02-04 00:00:00";0,5;2,4;1,5
"2014-02-05 00:00:00";-1,4;3,8;1,4
"2014-02-06 00:00:00";0,6;6,9;3,7
"2014-02-07 00:00:00";2,7;6,4;4,3
"2014-02-08 00:00:00";2,8;5,7;4,6
"2014-02-09 00:00:00";3;6,3;4,5
"2014-02-10 00:00:00";2;6,6;4,3
"2014-02-11 00:00:00";0,9;4,3;2,6
"2014-02-12 00:00:00";1,5;5,4;3,6
"2014-02-13 00:00:00";0,7;6,9;4
"2014-02-14 00:00:00";-0,1;6,5;3,8
"2014-02-15 00:00:00";2,8;9,2;5,9
"2014-02-16 00:00:00";3,3;8,7;6
"2014-02-17 00:00:00";0,6;8,7;4,5
"2014-02-18 00:00:00";-0,7;8;4,1
"2014-02-19 00:00:00";3;6,6;5,2
"2014-02-20 00:00:00";4,1;7,5;5,9
"2014-02-21 00:00:00";2,5;10,6;6
"2014-02-22 00:00:00";2,3;6,3;4,9
"2014-02-23 00:00:00";3,1;9,2;5,9
"2014-02-24 00:00:00";3;8,1;5,6
"2014-02-25 00:00:00";2,4;7,5;4,7
"2014-02-26 00:00:00";3,2;7,9;4,9
"2014-02-27 00:00:00";1,2;7;4,6
"2014-02-28 00:00:00";3;6,9;4,7
