"DateTime";"Laveste";"Højeste";"Middel"
"2016-03-01 00:00:00";-2,1;2,7;1,2
"2016-03-02 00:00:00";0,2;5,3;2,9
"2016-03-03 00:00:00";-1,6;5,8;2,8
"2016-03-04 00:00:00";1;4,4;2,7
"2016-03-05 00:00:00";1,2;5,9;3,3
"2016-03-06 00:00:00";0,5;3,4;1,9
"2016-03-07 00:00:00";-0,3;5,7;3,2
"2016-03-08 00:00:00";-0,5;5,4;3,1
"2016-03-09 00:00:00";-1,1;7,1;3,1
"2016-03-10 00:00:00";0,5;6;3,3
"2016-03-11 00:00:00";-1,4;7;2
"2016-03-12 00:00:00";-2;5,7;0,5
"2016-03-13 00:00:00";-1;5,8;1,4
"2016-03-14 00:00:00";2,2;6,2;4
"2016-03-15 00:00:00";1,4;10,2;5,5
"2016-03-16 00:00:00";-2,1;10,9;4,1
"2016-03-17 00:00:00";0,2;12,5;5,9
"2016-03-18 00:00:00";0,6;11,9;5,8
"2016-03-19 00:00:00";-0,1;11,4;4,5
"2016-03-20 00:00:00";-1,2;11,3;5,1
"2016-03-21 00:00:00";1,4;10,7;6,2
"2016-03-22 00:00:00";2,8;8,2;5,9
"2016-03-23 00:00:00";1,1;9,7;5,7
"2016-03-24 00:00:00";-2,3;8,1;4
"2016-03-25 00:00:00";4;7,9;6,2
"2016-03-26 00:00:00";1,4;10,4;5,6
"2016-03-27 00:00:00";4;11,4;7,2
"2016-03-28 00:00:00";3,4;12,5;7,9
"2016-03-29 00:00:00";3,7;12,3;7,6
"2016-03-30 00:00:00";2,1;8,2;5,3
"2016-03-31 00:00:00";2,1;12,2;6,5
