"DateTime";"Laveste";"Højeste";"Middel"
"2012-03-01 00:00:00";5,5;11,1;8,2
"2012-03-02 00:00:00";0,6;10,8;6,1
"2012-03-03 00:00:00";-2,6;7,4;2,7
"2012-03-04 00:00:00";0,6;4,6;2,1
"2012-03-05 00:00:00";-0,6;5,4;1,5
"2012-03-06 00:00:00";-0,4;3,6;1
"2012-03-07 00:00:00";-0,3;3,1;1,4
"2012-03-08 00:00:00";-0,5;8;3,3
"2012-03-09 00:00:00";-1,8;8;4,3
"2012-03-10 00:00:00";5,3;9,2;7
"2012-03-11 00:00:00";2,8;10,2;6,9
"2012-03-12 00:00:00";5,4;13,9;8,6
"2012-03-13 00:00:00";4,9;13,7;8
"2012-03-14 00:00:00";1,9;11,7;6,7
"2012-03-15 00:00:00";1,7;6,7;5,4
"2012-03-16 00:00:00";-1,1;14;7,1
"2012-03-17 00:00:00";4,1;11,5;7,1
"2012-03-18 00:00:00";3,6;10,3;6,9
"2012-03-19 00:00:00";2,9;9,2;5,4
"2012-03-20 00:00:00";2,6;11,6;7,6
"2012-03-21 00:00:00";6,3;15;9,8
"2012-03-22 00:00:00";4,1;13,5;8,5
"2012-03-23 00:00:00";1,5;12,8;6,4
"2012-03-24 00:00:00";0,2;8,1;4
"2012-03-25 00:00:00";2,4;15,5;7,7
"2012-03-26 00:00:00";0;16,3;8,8
"2012-03-27 00:00:00";5,6;18,6;11,9
"2012-03-28 00:00:00";6,8;16,4;10,7
"2012-03-29 00:00:00";5;13,1;8,1
"2012-03-30 00:00:00";4,3;12,4;7,9
"2012-03-31 00:00:00";2,1;7,9;5,1
