"DateTime";"Laveste";"Højeste";"Middel"
"2012-02-01 00:00:00";-5,6;-1;-2,6
"2012-02-02 00:00:00";-9,5;-4;-6,1
"2012-02-03 00:00:00";-10,2;-6,7;-8,1
"2012-02-04 00:00:00";-12,4;-6,6;-9,1
"2012-02-05 00:00:00";-12,6;-4,1;-6,6
"2012-02-06 00:00:00";-12,3;-5,3;-7,1
"2012-02-07 00:00:00";-10,1;-2,2;-4,8
"2012-02-08 00:00:00";-7;-0,3;-2,4
"2012-02-09 00:00:00";-5,8;-0,7;-2,5
"2012-02-10 00:00:00";-10,1;0,4;-4,1
"2012-02-11 00:00:00";-11,6;-2,5;-6,1
"2012-02-12 00:00:00";-4,6;1,2;-1,2
"2012-02-13 00:00:00";-9;2,5;-2,5
"2012-02-14 00:00:00";-3,2;3,6;-0,3
"2012-02-15 00:00:00";-1;3,8;1,7
"2012-02-16 00:00:00";-6,5;4,5;0,1
"2012-02-17 00:00:00";-0,2;7,1;3,9
"2012-02-18 00:00:00";-1,8;5,5;2,9
"2012-02-19 00:00:00";0,8;5;2,5
"2012-02-20 00:00:00";-2,2;5,1;1,9
"2012-02-21 00:00:00";0,4;7,8;4,4
"2012-02-22 00:00:00";3,7;6,8;5,5
"2012-02-23 00:00:00";4;9,6;6,6
"2012-02-24 00:00:00";4,8;10,1;7,5
"2012-02-25 00:00:00";1,9;7,7;5,3
"2012-02-26 00:00:00";-2,2;6,1;1,6
"2012-02-27 00:00:00";-4,7;3,7;0,5
"2012-02-28 00:00:00";3,2;13,9;8,3
"2012-02-29 00:00:00";5,4;11,7;8,9
