"DateTime";"Laveste";"Højeste";"Middel"
"2023-01-01 00:00:00";7,2;11,6;9,9
"2023-01-02 00:00:00";5,6;10,4;7,7
"2023-01-03 00:00:00";1;7,6;5
"2023-01-04 00:00:00";2,8;9,7;6,9
"2023-01-05 00:00:00";2;8,6;4,4
"2023-01-06 00:00:00";1,9;7,2;4,2
"2023-01-07 00:00:00";3,8;8,3;6,3
"2023-01-08 00:00:00";5,8;8,1;6,7
"2023-01-09 00:00:00";3,5;6,7;5,6
"2023-01-10 00:00:00";2,8;7,5;5,6
"2023-01-11 00:00:00";4,4;8,7;6,5
"2023-01-12 00:00:00";4,3;8,6;6,4
"2023-01-13 00:00:00";5,7;8,9;7,1
"2023-01-14 00:00:00";4,9;7,5;6,1
"2023-01-15 00:00:00";4,1;8;5,7
"2023-01-16 00:00:00";3,2;5,9;4,6
"2023-01-17 00:00:00";1,7;5,2;3,5
"2023-01-18 00:00:00";-0,1;3,3;2,1
"2023-01-19 00:00:00";0;3,9;2,5
"2023-01-20 00:00:00";-0,9;4,2;2,1
"2023-01-21 00:00:00";-1,6;2,1;0,4
"2023-01-22 00:00:00";-2,4;1,7;0
"2023-01-23 00:00:00";0,6;3,2;2,1
"2023-01-24 00:00:00";-0,6;3;1,3
"2023-01-25 00:00:00";-0,7;1,3;0,4
"2023-01-26 00:00:00";0,2;5,9;3,1
"2023-01-27 00:00:00";-5;3,8;0,2
"2023-01-28 00:00:00";-5,2;4,5;0,5
"2023-01-29 00:00:00";3,3;6,3;4,8
"2023-01-30 00:00:00";2,9;6,5;4,8
"2023-01-31 00:00:00";0,8;7;3,3
