"DateTime";"Laveste";"Højeste";"Middel"
"2022-04-01 00:00:00";-0,9;6,6;2,6
"2022-04-02 00:00:00";-1,5;6,7;1,8
"2022-04-03 00:00:00";-4,9;9,1;3,4
"2022-04-04 00:00:00";2,9;8,7;4,9
"2022-04-05 00:00:00";0,5;8,6;4,5
"2022-04-06 00:00:00";0,3;9,6;5
"2022-04-07 00:00:00";4,3;9,2;6,5
"2022-04-08 00:00:00";0,9;8;4,4
"2022-04-09 00:00:00";1,5;9,9;5,4
"2022-04-10 00:00:00";3,3;10,5;5,9
"2022-04-11 00:00:00";0,9;11;5,7
"2022-04-12 00:00:00";-1,9;11,5;5,5
"2022-04-13 00:00:00";5;13;8,8
"2022-04-14 00:00:00";7;14,5;10,1
"2022-04-15 00:00:00";3,5;9,2;6,9
"2022-04-16 00:00:00";-0,9;13,8;7,1
"2022-04-17 00:00:00";1,3;13,9;8,2
"2022-04-18 00:00:00";1;14,3;7,8
"2022-04-19 00:00:00";3;16,1;9,3
"2022-04-20 00:00:00";3;17,3;10,4
"2022-04-21 00:00:00";4,8;18,4;11,2
"2022-04-22 00:00:00";5,5;18,1;11
"2022-04-23 00:00:00";4,9;16,4;9,9
"2022-04-24 00:00:00";5,1;14,9;9,2
"2022-04-25 00:00:00";3,2;13,4;8,2
"2022-04-26 00:00:00";1,6;15,8;9,3
"2022-04-27 00:00:00";3,6;13,9;8,2
"2022-04-28 00:00:00";1,6;15,8;9,1
"2022-04-29 00:00:00";2;14,7;9,5
"2022-04-30 00:00:00";3,8;15,6;9,5
