"DateTime";"Laveste";"Højeste";"Middel"
"2011-10-01 00:00:00";9,1;24,1;15,4
"2011-10-02 00:00:00";10,2;18,7;13,9
"2011-10-03 00:00:00";12,3;21,5;17,1
"2011-10-04 00:00:00";12,6;17,9;15,8
"2011-10-05 00:00:00";12,1;16,7;14,3
"2011-10-06 00:00:00";8,4;16,2;13,5
"2011-10-07 00:00:00";8;14,2;10,6
"2011-10-08 00:00:00";7,2;12,7;9,8
"2011-10-09 00:00:00";2,5;12,7;8,4
"2011-10-10 00:00:00";8,5;14,5;11,3
"2011-10-11 00:00:00";8,1;14,4;10,6
"2011-10-12 00:00:00";7,3;14,9;10,4
"2011-10-13 00:00:00";4,6;12;8,2
"2011-10-14 00:00:00";0,7;11,9;6,2
"2011-10-15 00:00:00";-0,2;11,5;5,8
"2011-10-16 00:00:00";2,1;12;7,9
"2011-10-17 00:00:00";5,2;13,3;9,6
"2011-10-18 00:00:00";5,9;10,8;9,3
"2011-10-19 00:00:00";7;13,1;9,2
"2011-10-20 00:00:00";4,3;11,3;7,3
"2011-10-21 00:00:00";4,7;12,4;8,4
"2011-10-22 00:00:00";7,5;12,6;9,4
"2011-10-23 00:00:00";6,1;10,8;8,1
"2011-10-24 00:00:00";6,4;10,7;8
"2011-10-25 00:00:00";8,3;12,9;9,6
"2011-10-26 00:00:00";8,1;10,3;9,4
"2011-10-27 00:00:00";4,1;10,3;8,2
"2011-10-28 00:00:00";5,5;12,2;10,2
"2011-10-29 00:00:00";3,5;10,1;7,3
"2011-10-30 00:00:00";9,6;13,2;11,2
"2011-10-31 00:00:00";7,8;14;12
